,storeNumber,city,totalSalesDollars,avgSalesDollars,countyNumber,avgPrice(L),zipCode,totalVolSold(L),avgVolSold(L),avgMargin,totalSalesQ1,avgSalesQ1
915,4702,FORT DODGE,5826.5,208.089285714,94.0,18.9217687075,50501,406.5,14.5178571429,5.52,1365.6,170.7
917,4704,COUNCIL BLUFFS,5433.81,84.90328125,78.0,15.9610119048,51501,484.92,7.576875,3.36765625,1020.34,85.0283333333
918,4705,CORALVILLE,6500.52,171.066315789,52.0,17.197443609,52241,438.0,11.5263157895,4.97131578947,1476.48,147.648
919,4706,CLINTON,998.94,124.8675,23.0,13.3971428571,52732,75.0,9.375,4.305,242.52,121.26
920,4707,CLINTON,1373.46,228.91,23.0,18.3476190476,52732,73.5,12.25,5.11333333333,537.24,179.08
921,4708,GLENWOOD,12480.48,122.357647059,65.0,11.6292623716,51534,1150.5,11.2794117647,4.55882352941,3242.34,129.6936
922,4709,AMES,5532.84,141.867692308,85.0,16.5708424908,50010,368.25,9.44230769231,4.96717948718,1079.16,134.895
923,4710,DUBUQUE,3425.14,100.739411765,31.0,17.1107563025,52002,225.5,6.63235294118,5.15911764706,1373.92,114.493333333
924,4711,DUBUQUE,3243.48,170.709473684,31.0,18.5611027569,52002,178.5,9.39473684211,5.45578947368,909.24,227.31
925,4712,DUBUQUE,3482.92,87.073,31.0,17.0655714286,52001,254.75,6.36875,4.7665,828.95,118.421428571
926,4713,CORALVILLE,4753.62,132.045,52.0,15.2018518519,52241,337.5,9.375,5.22666666667,1140.04,114.004
927,4714,INDIANOLA,1370.16,137.016,91.0,12.8883809524,50125,117.0,11.7,4.257,223.2,111.6
928,4715,WEST DES MOINES,5369.4,149.15,77.0,15.6850793651,50265,376.5,10.4583333333,4.93694444444,1305.54,130.554
930,4717,BETTENDORF,1862.3,80.9695652174,82.0,16.3111801242,52722,139.33,6.05782608696,4.89217391304,284.01,56.802
