,storeNumber,city,totalSales15,averageSale15,countyNumber,averagePrice(L),zipCode,totalVolSold(L)15,averageVolSold(L)15,averageMargin15,predictor,Q1AverageSales15,TotalSales16toDate,AverageSale16toDate,Q1TotalSales16,Q1AverageSale16
1053,4857.0,WEST BURLINGTON,2584.44,64.611,29.0,23.60725,52655,142.6,3.565,4.37,1008.36,84.03,422.24,52.78,422.24,52.78
1054,4858.0,WEST BURLINGTON,711.53,39.5294444444,29.0,19.1048148148,52655,43.15,2.39722222222,4.15277777778,134.7,67.35,258.54,28.7266666667,258.54,28.7266666667
1055,4859.0,BURLINGTON,4126.95,114.6375,29.0,18.1625,52601,263.5,7.31944444444,4.07472222222,1750.66,109.41625,1018.84,127.355,1018.84,127.355
1057,4861.0,CEDAR RAPIDS,5796.19,59.1447959184,57.0,18.7615354713,52404,421.46,4.3006122449,4.22693877551,1297.59,61.79,1836.25,70.625,1836.25,70.625
1058,4862.0,KINGSLEY,4294.86,113.022631579,75.0,13.5613784461,51028,375.75,9.88815789474,4.36552631579,1355.64,123.24,1425.36,118.78,1425.36,118.78
1059,4864.0,CLINTON,17360.31,134.576046512,23.0,17.5638796604,52733,1113.97,8.63542635659,3.96364341085,5004.45,128.319230769,4146.66,148.095,4146.66,148.095
1060,4866.0,COUNCIL BLUFFS,11120.2,45.3885714286,78.0,19.3721098154,51501,734.9,2.99959183673,4.09934693878,2444.94,52.02,2685.36,43.3122580645,2685.36,43.3122580645
1061,4867.0,COUNCIL BLUFFS,6364.7,106.078333333,78.0,14.6526666667,51501,523.58,8.72633333333,2.933,2205.12,122.506666667,2418.8,115.180952381,2418.8,115.180952381
1062,4868.0,WAUKEE,5807.01,93.6614516129,25.0,16.0842703533,50263,424.52,6.84709677419,4.30048387097,1469.4,91.8375,872.57,109.07125,872.57,109.07125
1063,4869.0,GUTTENBERG,12800.22,83.1183116883,22.0,19.5430024737,52052,811.1,5.26688311688,5.95461038961,3453.69,95.9358333333,1430.29,119.190833333,1430.29,119.190833333
1065,4872.0,EARLHAM,2854.65,89.2078125,61.0,16.3549404762,50072,272.97,8.5303125,3.923125,1131.87,113.187,255.42,51.084,255.42,51.084
1066,4873.0,GRANGER,3770.35,83.7855555556,25.0,15.1846984127,50109,326.36,7.25244444444,3.43244444444,1372.96,91.5306666667,1049.21,61.7182352941,1049.21,61.7182352941
1067,4874.0,MOUNT PLEASANT,7252.7,26.3734545455,44.0,18.9960632035,52641,525.9,1.91236363636,3.74,1654.54,24.6946268657,2157.7,26.3134146341,2157.7,26.3134146341
1068,4876.0,HIAWATHA,16571.42,144.099304348,57.0,15.611931677,52233,1034.95,8.99956521739,2.91530434783,6892.62,222.342580645,3622.26,134.157777778,3622.26,134.157777778
1069,4877.0,CLIVE,27126.19,148.230546448,77.0,23.2085662243,50325,1429.3,7.81038251366,5.52639344262,7322.59,159.18673913,5166.99,147.628285714,5166.99,147.628285714
1070,4878.0,PRIMGHAR,8596.51,95.5167777778,71.0,17.2607936508,51245,580.85,6.45388888889,5.95566666667,1207.16,63.5347368421,1496.49,83.1383333333,1496.49,83.1383333333
1071,4879.0,SIOUX CITY,28214.6,127.092792793,97.0,18.3383462033,51106,2029.03,9.13977477477,4.20355855856,5199.24,110.62212766,9289.53,145.14890625,9289.53,145.14890625
1072,4880.0,ANITA,1202.34,109.303636364,15.0,15.28995671,50020,116.1,10.5545454545,3.38636363636,171.6,85.8,498.51,83.085,498.51,83.085
1074,4882.0,ST CHARLES,2397.16,114.15047619,61.0,13.1393197279,50240,217.8,10.3714285714,3.74523809524,1168.32,116.832,1144.32,163.474285714,1144.32,163.474285714
1075,4883.0,SIGOURNEY,3577.9,40.2011235955,54.0,14.7390904227,52591,319.49,3.5897752809,4.24764044944,571.81,38.1206666667,815.07,33.96125,815.07,33.96125
1076,4884.0,SIOUX CITY,3927.86,115.525294118,97.0,17.9396498599,51106,319.25,9.38970588235,3.50411764706,547.08,136.77,1121.34,93.445,1121.34,93.445
1077,4885.0,ZWINGLE,4598.41,114.96025,49.0,17.2998809524,52079,372.74,9.3185,3.71325,1263.88,105.323333333,1190.15,91.55,1190.15,91.55
1078,4887.0,WEST DES MOINES,3571.51,127.553928571,77.0,16.3612585034,50266,232.9,8.31785714286,4.10035714286,903.55,150.591666667,554.22,138.555,554.22,138.555
1079,4888.0,SERGEANT BLUFF,10512.23,74.554822695,97.0,20.5713272543,51054,582.27,4.12957446809,4.39680851064,2029.41,106.811052632,921.76,34.1392592593,921.76,34.1392592593
1081,4890.0,URBANDALE,2874.02,92.7103225806,77.0,16.2792319508,50323,200.3,6.46129032258,4.03129032258,992.64,99.264,274.11,68.5275,274.11,68.5275
1082,4891.0,SIBLEY,19374.02,95.4385221675,72.0,17.0058761436,51249,1423.05,7.01009852217,5.30384236453,5302.66,101.974230769,4967.5,112.897727273,4967.5,112.897727273
1083,4892.0,DAVENPORT,13617.19,49.6977737226,82.0,21.7800486618,52802,769.36,2.80788321168,3.94602189781,3957.7,67.0796610169,2823.56,25.4374774775,2823.56,25.4374774775
1084,4893.0,WEST DES MOINES,5457.69,82.6922727273,77.0,15.3267388167,50265,418.35,6.33863636364,3.44121212121,1416.45,101.175,942.0,72.4615384615,942.0,72.4615384615
1085,4895.0,CEDAR RAPIDS,10318.85,75.3200729927,57.0,23.7265658672,52402,564.91,4.12343065693,4.9796350365,2086.32,86.93,3987.14,88.6031111111,3987.14,88.6031111111
1086,4896.0,HARPERS FERRY,3221.71,74.9234883721,3.0,18.2393909192,52146,222.86,5.18279069767,5.17395348837,60.12,60.12,883.47,176.694,883.47,176.694
1087,4897.0,BURLINGTON,22729.56,134.49443787,29.0,19.7099380107,52601,1321.75,7.82100591716,4.00023668639,3934.74,135.680689655,5723.36,119.236666667,5723.36,119.236666667
1088,4898.0,BURLINGTON,7751.86,107.664722222,29.0,25.0535648148,52601,356.1,4.94583333333,3.73611111111,2246.45,118.234210526,2637.58,97.6881481481,2637.58,97.6881481481
1089,4899.0,GRAETTINGER,5277.36,68.5371428571,74.0,14.538961039,51342,454.75,5.90584415584,4.72428571429,982.62,61.41375,1162.96,58.148,1162.96,58.148
1090,4900.0,WATERLOO,14796.63,76.2712886598,7.0,21.1766593029,50703,801.63,4.13211340206,3.21567010309,3186.4,83.8526315789,6179.35,123.587,6179.35,123.587
1091,4901.0,POLK CITY,20201.87,134.679133333,77.0,15.0877714286,50226,1716.0,11.44,5.18373333333,4730.81,118.27025,1702.88,94.6044444444,1702.88,94.6044444444
1092,4902.0,WATERLOO,10655.42,88.7951666667,7.0,21.2918511905,50703,570.93,4.75775,3.38825,1582.45,60.8634615385,2287.78,95.3241666667,2287.78,95.3241666667
1093,4904.0,LARCHWOOD,6719.35,48.690942029,60.0,15.7924706694,51241,620.55,4.49673913043,4.55702898551,1625.67,50.8021875,1091.66,41.9869230769,1091.66,41.9869230769
1094,4905.0,ROCKWELL CITY,2906.29,46.1315873016,13.0,10.1743613001,50579,325.62,5.16857142857,3.28428571429,456.41,35.1084615385,769.29,59.1761538462,769.29,59.1761538462
1095,4907.0,CEDAR FALLS,7768.07,80.9173958333,7.0,16.7639781746,50613,630.28,6.56541666667,3.90916666667,2413.94,86.2121428571,1616.06,101.00375,1616.06,101.00375
1096,4908.0,ELKADER,5887.23,72.6818518519,22.0,16.4109171076,52043,549.63,6.78555555556,4.93888888889,1438.6,84.6235294118,623.48,34.6377777778,623.48,34.6377777778
1097,4909.0,ROCK VALLEY,9541.14,125.541315789,84.0,15.1816353383,51247,754.9,9.93289473684,4.31828947368,1514.85,94.678125,1916.99,106.499444444,1916.99,106.499444444
1098,4910.0,WATERLOO,13182.17,113.639396552,7.0,21.2655541872,50702,714.82,6.16224137931,4.49155172414,4747.89,139.643823529,3096.92,119.112307692,3096.92,119.112307692
1099,4911.0,PRINCETON,2199.21,64.6826470588,82.0,14.7606162465,52768,221.29,6.50852941176,3.24764705882,313.78,62.756,270.65,54.13,270.65,54.13
1100,4912.0,ELDRIDGE,3134.61,104.487,82.0,17.2783809524,52748,219.9,7.33,3.64233333333,296.32,98.7733333333,974.5,88.5909090909,974.5,88.5909090909
1101,4914.0,CEDAR FALLS,9152.07,99.4790217391,7.0,14.4354244306,50613,755.55,8.2125,3.38108695652,1619.94,85.26,2690.5,128.119047619,2690.5,128.119047619
1102,4915.0,BETTENDORF,1359.54,79.9729411765,82.0,18.4759103641,52722,84.31,4.95941176471,3.85411764706,257.04,85.68,221.45,36.9083333333,221.45,36.9083333333
1103,4917.0,PERRY,2218.52,50.4209090909,25.0,15.2992424242,50220,200.09,4.5475,2.9725,622.3,56.5727272727,663.83,51.0638461538,663.83,51.0638461538
1104,4919.0,ALTOONA,3954.84,104.074736842,77.0,16.3204636591,50009,285.51,7.51342105263,3.94947368421,587.89,65.3211111111,1037.91,94.3554545455,1037.91,94.3554545455
1106,4921.0,CEDAR RAPIDS,4792.44,69.4556521739,57.0,19.292705314,52404,316.46,4.58637681159,3.80405797101,1189.8,91.5230769231,1064.08,50.6704761905,1064.08,50.6704761905
1107,4923.0,AURELIA,1502.82,166.98,18.0,12.0692063492,51005,139.5,15.5,3.95666666667,79.2,79.2,558.24,279.12,558.24,279.12
1108,4924.0,NASHUA,4879.24,82.6989830508,19.0,16.0970702179,50658,385.55,6.53474576271,4.67559322034,1213.62,86.6871428571,1387.8,51.4,1387.8,51.4
