schoolID,sysID,schoolName,sysName,county,street,city,state,zip,adress,latitude,longitude,locClass,chrtr,titleI,stdTchRatio,freeLnch,reducedLnch
209,633,ALLATOONA HIGH SCHOOL,COBB COUNTY,COBB COUNTY,3300 DALLAS ACWORTH HWY NW,ACWORTH,GA,30101,"3300 DALLAS ACWORTH HWY NW,ACWORTH,GA,30101",34.03533,-84.735539,21,No,No,20.6,305,89
4065,706,ALLEN ELEMENTARY SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,5201 23RD AVE,COLUMBUS,GA,31904,"5201 23RD AVE,COLUMBUS,GA,31904",32.514662,-84.960803,12,No,Yes,16.1,261,50
299,710,ALLGOOD ELEMENTARY SCHOOL,PAULDING COUNTY,PAULDING COUNTY,312 HART RD,DALLAS,GA,30157,"312 HART RD,DALLAS,GA,30157",33.8738,-84.847753,21,No,Yes,15.6,454,101
2050,644,ALLGOOD ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,659 ALLGOOD RD,STONE MOUNTAIN,GA,30083,"659 ALLGOOD RD,STONE MOUNTAIN,GA,30083",33.779395,-84.211668,21,No,Yes,15.9,503,22
1050,660,ALPHARETTA ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,192 MAYFIELD RD,ALPHARETTA,GA,30004,"192 MAYFIELD RD,ALPHARETTA,GA,30004",34.081767,-84.301562,13,No,No,12,105,20
205,660,ALPHARETTA HIGH SCHOOL,FULTON COUNTY,FULTON COUNTY,3595 WEBB BRIDGE RD,ALPHARETTA,GA,30005,"3595 WEBB BRIDGE RD,ALPHARETTA,GA,30005",34.075786,-84.255646,13,No,No,16.8,179,37
6420,854,ALPINE PSYCHOEDUCATIONAL PROGRAM,PIONEER RESA,HALL COUNTY,1300A ATHENS STREET,GAINESVILLE,GA,30501,"1300A ATHENS STREET,GAINESVILLE,GA,30501",34.289773,-83.80227,13,No,No,17.10792873,428.0284571,46.01911961
105,629,ALPS ROAD ELEMENTARY SCHOOL,CLARKE COUNTY,CLARKE COUNTY,200 ALPS RD,ATHENS,GA,30606,"200 ALPS RD,ATHENS,GA,30606",33.94399,-83.405455,12,No,Yes,6.8,291,7
1052,663,ALTAMA ELEMENTARY SCHOOL,GLYNN COUNTY,GLYNN COUNTY,5505 ALTAMA AVE,BRUNSWICK,GA,31525,"5505 ALTAMA AVE,BRUNSWICK,GA,31525",31.209669,-81.482457,23,No,Yes,14.1,466,46
1050,601,ALTAMAHA ELEMENTARY SCHOOL,APPLING COUNTY,APPLING COUNTY,344 ALTAMAHA SCHOOL RD,BAXLEY,GA,31513,"344 ALTAMAHA SCHOOL RD,BAXLEY,GA,31513",31.875677,-82.365238,42,No,Yes,14.9,264,0
6073,721,ALTERNATIVE EDUCATION,RICHMOND COUNTY,RICHMOND COUNTY,1740 WALTON WAY,AUGUSTA,GA,30904,"1740 WALTON WAY,AUGUSTA,GA,30904",33.473886,-81.997383,12,No,No,17.10792873,428.0284571,46.01911961
6005,607,ALTERNATIVE SCHOOL,BARROW COUNTY,BARROW COUNTY,106 CHURCH ST,WINDER,GA,30680,"106 CHURCH ST,WINDER,GA,30680",33.99601,-83.723025,31,No,No,17.10792873,428.0284571,46.01911961
1050,657,ALTO PARK ELEMENTARY SCHOOL,FLOYD COUNTY,FLOYD COUNTY,528 BURNETT FERRY RD SW,ROME,GA,30165,"528 BURNETT FERRY RD SW,ROME,GA,30165",34.260004,-85.234124,23,No,Yes,13.8,330,43
198,667,ALTON C. CREWS MIDDLE SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,1000 OLD SNELLVILLE HWY,LAWRENCEVILLE,GA,30044,"1000 OLD SNELLVILLE HWY,LAWRENCEVILLE,GA,30044",33.906957,-84.009147,21,No,No,17,228,75
406,660,AMANA ACADEMY SCHOOL,FULTON COUNTY,FULTON COUNTY,1565 HOLCOMB BRIDGE RD,ROSWELL,GA,30076,"1565 HOLCOMB BRIDGE RD,ROSWELL,GA,30076",34.017514,-84.315613,13,No,No,13.5,186,47
102,634,AMBROSE ELEMENTARY SCHOOL,COFFEE COUNTY,COFFEE COUNTY,3753 VICKERS XING,AMBROSE,GA,31512,"3753 VICKERS XING,AMBROSE,GA,31512",31.597017,-83.008243,42,No,Yes,14.9,295,19
