schoolID,sysID,schoolName,sysName,county,street,city,state,zip,locClass,chrtr,titleI,stdTchRatio,freeLnch,reducedLnch
6005,607,ALTERNATIVE SCHOOL,BARROW COUNTY,BARROW COUNTY,106 CHURCH ST,WINDER,GA,30680,31,No,No,17.10792873,428.0284571,46.01911961
1050,657,ALTO PARK ELEMENTARY SCHOOL,FLOYD COUNTY,FLOYD COUNTY,528 BURNETT FERRY RD SW,ROME,GA,30165,23,No,Yes,13.8,330,43
198,667,ALTON C. CREWS MIDDLE SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,1000 OLD SNELLVILLE HWY,LAWRENCEVILLE,GA,30044,21,No,No,17,228,75
406,660,AMANA ACADEMY SCHOOL,FULTON COUNTY,FULTON COUNTY,1565 HOLCOMB BRIDGE RD,ROSWELL,GA,30076,13,No,No,13.5,186,47
102,634,AMBROSE ELEMENTARY SCHOOL,COFFEE COUNTY,COFFEE COUNTY,3753 VICKERS XING,AMBROSE,GA,31512,42,No,Yes,14.9,295,19
205,729,AMERICUS SUMTER COUNTY HIGH NORTH,SUMTER COUNTY,SUMTER COUNTY,101 INDUSTRIAL BLVD,AMERICUS,GA,31719,41,No,Yes,12.3,244,48
105,729,AMERICUS SUMTER COUNTY HIGH SOUTH,SUMTER COUNTY,SUMTER COUNTY,805 HARROLD AVE,AMERICUS,GA,31709,32,No,Yes,17.5,655,95
1050,631,ANDERSON ELEMENTARY SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,4199 OLD ROCK CUT RD,CONLEY,GA,30288,21,No,Yes,16.3,551,0
1016,667,ANDERSON-LIVSEY ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,4521 CENTERVILLE HWY,SNELLVILLE,GA,30039,21,No,Yes,15,508,66
101,666,ANITA WHITE CARSON MIDDLE SCHOOL,GREENE COUNTY,GREENE COUNTY,1010 S MAIN ST,GREENSBORO,GA,30642,32,No,Yes,10.3,306,0
1050,726,ANNE STREET ELEMENTARY SCHOOL,SPALDING COUNTY,SPALDING COUNTY,802 ANNE ST,GRIFFIN,GA,30224,21,No,Yes,17.1,443,26
