,year,sysID,sysName,schoolID,schoolName,grd,ccrpi,street,city,county,state,zip,locClass,titleI,chrtr,totStudnts,crprlPun,dtntn,iss,oss,altSchl,physRest,busSusp,explsn,other_discipline_action,pctDisc,bully,disCond,gngRel,hom,sexRelated,drugAlc,weapons,thftRbry,violence,pctBehavrs,stdTchRatio,expPerStudent,salBenSum,freeLnch,reducedLnch,pctMobile,pctAbs5orLess,pctAbsSix-Fiftn,pctOverFiftn,pctSnapTanfHmls,pctAsian,pctNative,pctBlck,pctHisp,pctMulti,pctWhite,pctMigrant,pctSPED,pctESOL,pctAltProg,pctGiftd,adress,latitude,longitude,cluster,cluster2
0,2015,601,Appling County,103,Appling County High School,H,73.6,482 Blackshear Hwy,Baxley,Appling County,GA,31513,33.0,No,No,1063,0,0,349,90,10,0,8,0,103,0.42991533396,0,304,2,0,7,41,2,3,43,0.378174976482,-0.00133033286447,0.0304856904653,-0.196321364616,0.123673482762,-0.148609917365,-0.0280771048029,-0.141072802022,0.033688829301,0.154379449547,-0.0530133700606,-0.0261740383886,-0.0265533722783,-0.149997049625,-0.0179733138609,-0.117462463187,0.202851507039,0.194901752523,0.0234838185603,-0.0465146996746,0.0516441848115,-0.0483095746861,"482 Blackshear Hwy,Baxley,Ga,31513",31.757758,-82.354021,2,1
1,2015,601,Appling County,177,Appling County Elementary School,E,68.8,680 Blackshear Hwy,Baxley,Appling County,GA,31513,33.0,Yes,No,619,29,0,0,15,0,0,7,0,1,0.0823909531502,0,0,0,0,1,0,3,0,10,0.0226171243942,-0.0021287512357,-0.00855138408474,-0.196321364616,0.0227296994217,-0.14543531419,-0.0325521404656,0.00440133590932,0.0402462063502,-0.0400261448589,0.122810805764,-0.0261740383886,-0.0265533722783,-0.0792899789182,0.0653600194725,0.0643557186308,0.0293821192843,0.352796489365,0.0250012692431,0.0483570951972,-0.0163558151885,-0.123900125867,"680 Blackshear Hwy,Baxley,Ga,31513",31.754824,-82.354584,5,2
2,2015,601,Appling County,195,Appling County Middle School,M,68.8,2997 Blackshear Hwy,Baxley,Appling County,GA,31513,41.0,Yes,No,826,34,0,159,33,3,10,8,0,4,0.299031476998,4,8,0,0,7,5,1,2,39,0.0799031476998,-0.00163449224399,0.0296026788135,-0.196321364616,0.0526845619576,-0.148609917365,-0.0294085820646,-0.0710296985734,0.0828691571698,0.0229109180782,0.0348987178515,-0.0261740383886,-0.0265533722783,-0.149997049625,-0.00755664719419,0.0643557186308,0.182443343774,0.194901752523,0.000722058317491,-0.0452326483925,0.00564418481147,-0.0451599683869,"2997 Blackshear Hwy,Baxley,Ga,31513",31.723121,-82.33976,5,2
3,2015,601,Appling County,1050,Altamaha Elementary School,E,72.3,344 Altamaha School Rd,Baxley,Appling County,GA,31513,42.0,Yes,No,361,40,0,0,0,0,0,1,0,0,0.113573407202,0,3,0,0,0,0,0,0,0,0.00831024930748,-0.00190063170106,0.0481235372899,-0.196321364616,-0.065903866438,-0.148609917365,-0.0286186311403,-0.105512457194,0.107459321104,0.0466871418544,-0.00905732610459,-0.0420470542616,-0.0265533722783,-0.311613211241,-0.0700566471942,-0.117462463187,0.427341302958,0.0896385946278,0.0310710719745,-0.0106172637771,-0.0163558151885,-0.0577583935837,"344 Altamaha School Rd,Baxley,Ga,31513",31.875677,-82.365238,4,4
4,2015,601,Appling County,5050,Fourth District Elementary School,E,68.2,13396 Blackshear Hwy,Surrency,Appling County,GA,31563,43.0,Yes,No,164,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0.00609756097561,-0.00216677115814,0.0211247720138,-0.196321364616,-0.120889504518,-0.148609917365,-0.0229445922613,-0.122753836504,0.156639648973,0.0257081208754,-0.0200463370936,-0.0420470542616,-0.0265533722783,-0.281310180938,-0.0388066471942,0.15526480954,0.345708649896,0.24753333147,-0.0387316594367,-0.0298480330079,-0.0163558151885,-0.123900125867,"13396 Blackshear Hwy,Surrency,Ga,31563",31.611834,-82.247988,4,4
5,2015,602,Atkinson County,103,Atkinson County High School,H,88.5,145 Rebel Ln,Pearson,Atkinson County,GA,31642,43.0,Yes,No,469,15,0,160,46,13,0,0,0,0,0.498933901919,1,0,0,0,0,22,0,0,19,0.089552238806,-0.000798053950322,-0.0159104778113,-0.209026980382,-0.042514453225,0.0164694477146,-0.0227869234464,0.0442720255645,-0.0958193674203,0.0243095194768,-0.0200463370936,-0.0420470542616,-0.0265533722783,-0.170199069827,0.200776686139,-0.208371554096,0.0293821192843,-0.0156245632669,0.0325885226574,-0.0490788022387,0.0246441848115,-0.0357111494892,"145 Rebel Ln,Pearson,Ga,31642",31.321162,-82.847133,5,2
6,2015,602,Atkinson County,111,Atkinson County Middle School,M,72.7,145 Rebel Ln,Pearson,Atkinson County,GA,31642,43.0,Yes,No,418,18,0,85,32,9,0,0,0,0,0.344497607656,2,0,0,0,2,7,0,0,28,0.0933014354067,-0.00129231294203,-0.0249201814875,-0.209026980382,-0.0556453518709,0.0323424635876,-0.0243545763207,0.0108668531507,0.0238527637272,-0.0344317392645,0.0678657508185,-0.0420470542616,-0.0265533722783,-0.220704120332,0.232026686139,-0.208371554096,0.0497902825496,0.0896385946278,0.0932865499715,-0.0401044432643,-0.00335581518853,-0.0546087872845,"145 Rebel Ln,Pearson,Ga,31642",31.321162,-82.847133,5,2
7,2015,602,Atkinson County,187,Willacoochee Elementary School,E,89.7,430 South Vickers Street,Willachochee,Atkinson County,GA,31650,42.0,Yes,No,211,2,0,0,5,0,0,0,0,0,0.0331753554502,0,4,0,0,0,0,0,0,0,0.0189573459716,-0.00262301022741,0.0907777260484,-0.209026980382,-0.0946277072259,-0.0851178538727,-0.0254228735455,-0.0322365951252,0.0910658784813,-0.0358303406631,0.243689926643,-0.0420470542616,-0.0265533722783,-0.0792899789182,0.200776686139,-0.117462463187,-0.0726586970423,0.24753333147,0.0538328322173,0.0650237618639,-0.0163558151885,-0.138073354214,"430 South Vickers Street,Willachochee,Ga,31650",31.337995,-83.050067,5,2
8,2015,602,Atkinson County,190,Pearson Elementary School,E,84.8,563 King St N,Pearson,Atkinson County,GA,31642,43.0,Yes,No,621,86,0,0,49,0,0,0,0,0,0.217391304348,0,153,0,0,0,0,0,0,4,0.252818035427,-0.00205271139082,0.0417593862695,-0.209026980382,0.03011582991,0.0482154794606,-0.0155277591594,0.0140996117714,0.0222134194649,-0.0386275434603,0.133799816753,-0.0420470542616,-0.0265533722783,-0.240906140534,0.294526686139,-0.117462463187,-0.00123012561371,0.24753333147,0.000722058317491,0.20604940289,-0.0163558151885,-0.122325322718,"563 King St N,Pearson,Ga,31642",31.300402,-82.852793,5,2
9,2015,603,Bacon County,202,Bacon County Middle School,M,66.2,1188 Us Hwy 1S,Alma,Bacon County,GA,31510,33.0,Yes,No,504,24,0,107,144,3,0,33,0,2,0.617063492063,0,0,0,0,1,4,5,1,34,0.0892857142857,-0.0021287512357,-0.00142062970924,-0.206822787836,-0.0630314823592,-0.0152765840314,-0.0134927914136,-0.234822802022,0.286147845694,0.0606731558404,-0.00905732610459,-0.0420470542616,-0.0265533722783,-0.180300079928,-0.0283899805275,-0.0265533722783,0.24366783357,0.0896385946278,-0.0205222512424,-0.0465146996746,0.000644184811471,0.0776746772824,"1188 Us Hwy 1S,Alma,Ga,31510",31.500005,-82.457849,4,4
