NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Locale Code*,Locale*,Charter,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
1.30E+11,4065,1303870,706,PK,5,ALLEN ELEMENTARY SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,5201 23RD AVE,COLUMBUS,GA,31904,5012,12,City: Midsize,No,Yes,No,452,28.1,16.1,261,50
1.30E+11,299,1304020,710,PK,5,ALLGOOD ELEMENTARY SCHOOL,PAULDING COUNTY,PAULDING COUNTY,312 HART RD,DALLAS,GA,30157,,21,Suburb: Large,No,Yes,Yes,899,57.5,15.6,454,101
1.30E+11,2050,1301740,644,PK,5,ALLGOOD ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,659 ALLGOOD RD,STONE MOUNTAIN,GA,30083,4576,21,Suburb: Large,No,Yes,Yes,615,38.7,15.9,503,22
1.30E+11,1050,1302280,660,PK,5,ALPHARETTA ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,192 MAYFIELD RD,ALPHARETTA,GA,30004,1595,13,City: Small,No,No,NA,581,48.5,12,105,20
1.30E+11,205,1302280,660,9,12,ALPHARETTA HIGH SCHOOL,FULTON COUNTY,FULTON COUNTY,3595 WEBB BRIDGE RD,ALPHARETTA,GA,30005,,13,City: Small,No,No,NA,2066,122.8,16.8,179,37
1.30E+11,6420,1300008,854,NA,NA,ALPINE PSYCHOEDUCATIONAL PROGRAM,PIONEER RESA,HALL COUNTY,1300A ATHENS STREET,GAINESVILLE,GA,30501,,13,City: Small,No,NA,NA,NA,17,NA,NA,NA
1.30E+11,105,1301170,629,PK,5,ALPS ROAD ELEMENTARY SCHOOL,CLARKE COUNTY,CLARKE COUNTY,200 ALPS RD,ATHENS,GA,30606,4058,12,City: Midsize,No,Yes,Yes,301,44,6.8,291,7
1.30E+11,1052,1302400,663,PK,5,ALTAMA ELEMENTARY SCHOOL,GLYNN COUNTY,GLYNN COUNTY,5505 ALTAMA AVE,BRUNSWICK,GA,31525,2206,23,Suburb: Small,No,Yes,Yes,546,38.8,14.1,466,46
1.30E+11,1050,1300060,601,PK,5,ALTAMAHA ELEMENTARY SCHOOL,APPLING COUNTY,APPLING COUNTY,344 ALTAMAHA SCHOOL RD,BAXLEY,GA,31513,9801,42,Rural: Distant,No,Yes,Yes,371,24.9,14.9,264,0
1.30E+11,6073,1304380,721,NA,NA,ALTERNATIVE EDUCATION,RICHMOND COUNTY,RICHMOND COUNTY,1740 WALTON WAY,AUGUSTA,GA,30904,,12,City: Midsize,No,NA,NA,NA,24,NA,NA,NA
1.30E+11,6005,1300290,607,NA,NA,ALTERNATIVE SCHOOL,BARROW COUNTY,BARROW COUNTY,106 CHURCH ST,WINDER,GA,30680,,31,Town: Fringe,No,NA,NA,NA,7,NA,NA,NA
1.30E+11,1050,1302190,657,PK,5,ALTO PARK ELEMENTARY SCHOOL,FLOYD COUNTY,FLOYD COUNTY,528 BURNETT FERRY RD SW,ROME,GA,30165,3655,23,Suburb: Small,No,Yes,Yes,497,36.1,13.8,330,43
1.30E+11,198,1302550,667,6,8,ALTON C. CREWS MIDDLE SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,1000 OLD SNELLVILLE HWY,LAWRENCEVILLE,GA,30044,,21,Suburb: Large,No,No,NA,1281,75.5,17,228,75
1.30E+11,406,1302280,660,KG,8,AMANA ACADEMY SCHOOL,FULTON COUNTY,FULTON COUNTY,1565 HOLCOMB BRIDGE RD,ROSWELL,GA,30076,,13,City: Small,No,No,NA,712,52.8,13.5,186,47
1.30E+11,102,1301350,634,PK,5,AMBROSE ELEMENTARY SCHOOL,COFFEE COUNTY,COFFEE COUNTY,3753 VICKERS XING,AMBROSE,GA,31512,60,42,Rural: Distant,No,Yes,Yes,397,26.6,14.9,295,19
1.30E+11,205,1304620,729,9,9,AMERICUS SUMTER COUNTY HIGH NORTH,SUMTER COUNTY,SUMTER COUNTY,101 INDUSTRIAL BLVD,AMERICUS,GA,31719,,41,Rural: Fringe,No,Yes,Yes,336,27.4,12.3,244,48
1.30E+11,105,1304620,729,9,12,AMERICUS SUMTER COUNTY HIGH SOUTH,SUMTER COUNTY,SUMTER COUNTY,805 HARROLD AVE,AMERICUS,GA,31709,4113,32,Town: Distant,No,Yes,Yes,950,54.4,17.5,655,95
1.30E+11,1050,1301230,631,PK,5,ANDERSON ELEMENTARY SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,4199 OLD ROCK CUT RD,CONLEY,GA,30288,2052,21,Suburb: Large,No,Yes,Yes,554,33.9,16.3,551,0
1.30E+11,1016,1302550,667,PK,5,ANDERSON-LIVSEY ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,4521 CENTERVILLE HWY,SNELLVILLE,GA,30039,,21,Suburb: Large,No,Yes,Yes,757,50.5,15,508,66
1.30E+11,101,1302490,666,6,8,ANITA WHITE CARSON MIDDLE SCHOOL,GREENE COUNTY,GREENE COUNTY,1010 S MAIN ST,GREENSBORO,GA,30642,,32,Town: Distant,No,Yes,Yes,310,30,10.3,306,0
1.30E+11,1050,1302520,726,PK,5,ANNE STREET ELEMENTARY SCHOOL,SPALDING COUNTY,SPALDING COUNTY,802 ANNE ST,GRIFFIN,GA,30224,4704,21,Suburb: Large,No,Yes,Yes,487,28.4,17.1,443,26
1.30E+11,5052,1301860,648,KG,5,ANNETTE WINN ELEMENTARY SCHOOL,DOUGLAS COUNTY,DOUGLAS COUNTY,3536 VETERANS MEMORIAL HWY,LITHIA SPRINGS,GA,30122,1415,21,Suburb: Large,No,Yes,Yes,439,29.7,14.8,350,32
1.30E+11,104,1304980,737,KG,3,ANNIE BELLE CLARK PRIMARY SCHOOL,TIFT COUNTY,TIFT COUNTY,1464 CARPENTER RD S,TIFTON,GA,31793,3930,32,Town: Distant,No,Yes,Yes,851,56.5,15.1,806,0
1.30E+11,282,1302550,667,PK,5,ANNISTOWN ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,3150 SPAIN RD,SNELLVILLE,GA,30039,,21,Suburb: Large,No,Yes,Yes,553,42.5,13,394,39
1.31E+11,1050,1305700,755,PK,5,ANTIOCH ELEMENTARY SCHOOL,WHITFIELD COUNTY,WHITFIELD COUNTY,1819 RIVERBEND RD,DALTON,GA,30721,5979,23,Suburb: Small,No,Yes,Yes,579,39,14.8,418,74
1.30E+11,101,1300290,607,9,12,APALACHEE HIGH SCHOOL,BARROW COUNTY,BARROW COUNTY,940 HAYMON MORRIS RD,WINDER,GA,30680,,41,Rural: Fringe,No,Yes,Yes,1624,104.6,15.5,717,183
