,year,sysID,sysName,schoolID,schoolName,adress,latitude,longitude,grd,ccrpi,titleI,chrtr,cluster
41,2015,608,Bartow County,115,Cloverleaf Elementary,"291 Highway 20 Spur,Cartersville,Ga,30121",34.202421,-84.744057,E,70.5,Yes,No,3
42,2015,608,Bartow County,175,White Elementary School,"505 Colonel Way,White,Ga,30184",34.278567,-84.762514,E,79.3,Yes,No,3
43,2015,608,Bartow County,177,Adairsville Elementary School,"122 King St,Adairsville,Ga,30103",34.370154,-84.939156,E,60.6,Yes,No,3
44,2015,608,Bartow County,186,Mission Road Elementary School,"1100 Mission Rd Sw,Cartersville,Ga,30120",34.162487,-84.880583,E,67.1,Yes,No,3
45,2015,608,Bartow County,190,South Central Middle School,"224 Old Alabama Rd Se,Emerson,Ga,30137",34.120894,-84.764978,M,66.0,Yes,No,3
46,2015,608,Bartow County,195,Cass Middle School,"195 Fire Tower Rd Nw,Cartersville,Ga,30120",34.239993,-84.868971,M,69.2,Yes,No,3
47,2015,608,Bartow County,196,Allatoona Elementary School,"4150 New Hope Church Road. Nw,Acworth,Ga,30101",34.117373,-84.669693,E,61.3,Yes,No,3
48,2015,608,Bartow County,198,Woodland High School,"800 Old Alabama Rd Se,Cartersville,Ga,30120",34.121077,-84.834285,H,68.5,No,No,1
49,2015,608,Bartow County,296,Kingston Elementary School,"240 Hardin Bridge Rd,Kingston,Ga,30145",34.213701,-84.935614,E,69.8,Yes,No,3
50,2015,608,Bartow County,301,Adairsville Middle School,"485 Old Highway 41 Nw,Adairsville,Ga,30103",34.372899,-84.934421,M,72.6,Yes,No,3
51,2015,608,Bartow County,377,Hamilton Crossing Elementary School,"116 Hamilton Crossing Rd Nw,Cartersville,Ga,30120",34.224544,-84.869687,E,61.2,Yes,No,3
52,2015,608,Bartow County,396,Taylorsville Elementary School,"1502 Old Alabama Rd,Taylorsville,Ga,30178",34.10867,-84.946432,E,66.8,Yes,No,3
53,2015,608,Bartow County,2052,Emerson Elementary School,"54 7Th St,Emerson,Ga,30137",34.124323,-84.75799,E,71.7,Yes,No,3
